neuron,epoch_0,epoch_1,epoch_2,epoch_3,epoch_4,epoch_5,epoch_6,epoch_7,epoch_8,epoch_9,epoch_10
39,0.9424,0.9924,0.9966,0.997,0.9974,0.9974,0.9978,0.9974,0.9974,0.9974,0.9974
40,0.845,0.9502,0.9722,0.98,0.9814,0.982,0.983,0.9852,0.9852,0.9846,0.9842
41,0.9604,0.9898,0.9906,0.9882,0.9846,0.977,0.9666,0.9468,0.9412,0.936,0.9324
42,0.6562,0.7178,0.6138,0.61,0.6084,0.5968,0.5918,0.5938,0.5782,0.578,0.5684
43,0.1166,0.0794,0.0688,0.0548,0.0482,0.0378,0.0348,0.0312,0.0304,0.03,0.0306
44,0.9818,0.9958,0.996,0.9966,0.997,0.9974,0.9974,0.9976,0.9972,0.9968,0.9958
45,0.9962,0.9976,0.9996,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
46,0.5498,0.0544,0.0428,0.0458,0.0548,0.0688,0.0752,0.0736,0.0746,0.0754,0.0802
47,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
48,0.006,0.0392,0.0404,0.0292,0.028,0.0264,0.0248,0.0248,0.0228,0.0202,0.0176
49,0.0488,0.0128,0.0086,0.0076,0.008,0.0074,0.007,0.0046,0.0038,0.0032,0.003
50,0.3114,0.9438,0.962,0.969,0.9712,0.9724,0.9738,0.974,0.9738,0.974,0.9738
51,0.9958,0.999,0.9996,0.9992,0.9992,0.9992,0.9994,0.9994,0.9994,0.999,0.9986
52,0.403,0.2222,0.1602,0.1276,0.1104,0.1252,0.1488,0.1748,0.1854,0.1868,0.1914
53,0.4524,0.2186,0.2642,0.3114,0.3182,0.3332,0.3422,0.3496,0.36,0.3642,0.3672
54,0.9998,0.9998,0.9998,0.9998,0.9998,0.9998,0.9998,0.9998,0.9998,0.9998,0.9998
55,0.0004,0.0004,0.0012,0.0016,0.0016,0.0016,0.002,0.002,0.002,0.0022,0.0022
56,0.9846,0.9648,0.9376,0.9216,0.9008,0.8268,0.6392,0.5262,0.519,0.5112,0.5088
57,0.9782,0.9856,0.9932,0.9968,0.9988,0.9992,0.9994,1.0,1.0,0.9998,0.9998
58,0.0096,0.0072,0.007,0.0064,0.0062,0.006,0.0058,0.0066,0.0064,0.0064,0.0062
59,0.054,0.191,0.1124,0.0686,0.0554,0.043,0.0398,0.0374,0.0342,0.032,0.0302
60,0.2638,0.0372,0.0314,0.0296,0.022,0.0188,0.0156,0.0114,0.0106,0.0088,0.0084
61,0.0102,0.009,0.0064,0.0054,0.0042,0.0042,0.0044,0.0042,0.004,0.0046,0.0052
62,0.9786,0.9818,0.9808,0.978,0.98,0.9772,0.9736,0.9656,0.9576,0.9458,0.9364
63,0.9888,0.9888,0.971,0.9394,0.8806,0.7388,0.4654,0.115,0.083,0.0608,0.0554
64,0.8986,0.9934,0.9968,0.9974,0.9978,0.9982,0.9988,0.9988,0.999,0.9992,0.9992
65,0.881,0.9682,0.9748,0.9708,0.9588,0.942,0.9316,0.901,0.854,0.7648,0.7304
66,0.2518,0.034,0.0144,0.0104,0.0082,0.008,0.0074,0.007,0.0074,0.0074,0.0088
